"","X","Precio","Superficie_Terreno","Superficie_Habitacional","Agno_Construccion","Antiguedad_Promedio","Avaluo_Fiscal","Avaluo_Fiscal_Unitario","Barrio","Calidad_Habitacional","IPV_General","Latitud","Longitud","Tipo_Comprador_Simple","Tipo_Vendedor_Simple","Trimestre","Valor_Unitario_Terreno","Valor_Unitario_Construccion_Habitacional_Promedio","Fecha_Transaccion","Precio_Unitario"
"1",1,8400,180,88,1953,67,4733.21261011261,26.2956256117367,"parque_bicentenario",3,206.729659496211,-33.404441,-70.595483,"Persona","Persona","T4",18.8677035268304,15.1877464631883,"2020-12-16",46.6666666666667
"2",2,27300,300,114,1953,68,7625.94917879384,25.4198305959795,"parque_bicentenario",3,219.441437334406,-33.403059,-70.594228,"Empresa","Persona","T3",18.8677035268304,15.1877464631883,"2021-09-08",91
"3",3,14800,230,135,1957,52.333333333333,6475.00780871866,28.1522078639942,"parque_bicentenario",3,193.660026564027,-33.40457,-70.590367,"Empresa","Persona","T4",18.8677035268304,15.1877464631883,"2018-10-28",64.3478260869565
"4",4,14800,230,135,1957,54.333333333333,6475.00780871866,28.1522078639942,"parque_bicentenario",3,206.729659496211,-33.40457,-70.590367,"Empresa","Empresa","T4",18.8677035268304,15.1877464631883,"2020-10-30",64.3478260869565
"5",5,19000,416,242,1957,39.7411299935115,13045.9492110613,31.360454834282,"parque_bicentenario",1.86776859504132,163.822591438889,-33.402733,-70.58911,"Persona","Persona","T3",19.3632990222968,20.6557293717223,"2016-08-26",45.6730769230769
"6",6,8326,432,130,1958,57.0000000000002,10543.8418895808,24.4070414110667,"parque_bicentenario",4,163.714201945077,-33.402233,-70.589162,"Persona","Empresa","T3",19.3632990222968,8.38840745915558,"2015-09-11",19.2731481481481
"7",7,24820,270,239,1958,56.3969492911033,8417.51989287212,31.1759996032301,"parque_bicentenario",3,204.936630465637,-33.402064,-70.589177,"Empresa","Persona","T1",19.3632990222968,15.0891017384479,"2020-02-22",91.9259259259259
"8",8,11000,731,190,1957,62,18246.6593849827,24.9612303488135,"parque_bicentenario",3,203.460525846961,-33.402135,-70.588946,"Empresa","Persona","T4",19.3632990222968,15.1877464631883,"2019-12-01",15.0478796169631
"9",9,25000,731,190,1957,62,18246.6593849827,24.9612303488135,"parque_bicentenario",3,203.460525846961,-33.402135,-70.588946,"Empresa","Persona","T4",19.3632990222968,15.1877464631883,"2019-12-01",34.1997264021888
"10",10,18000,269,160,1960,59,7511.81543028621,27.9249644248558,"parque_bicentenario",3.0625,203.460525846961,-33.402395,-70.589151,"Persona","Persona","T4",19.3632990222968,14.6645540703823,"2019-11-07",66.9144981412639
"11",11,15500,277,176,1962,46.2727272727273,8376.65709399503,30.2406393285019,"parque_bicentenario",3,175.239428171678,-33.402608,-70.588268,"Empresa","Persona","T3",19.3632990222968,15.1877464631883,"2017-08-30",55.956678700361
"12",12,22765,416,200,1955,61,10866.288890323,26.1208867555841,"parque_bicentenario",3.175,163.822591438889,-33.401044,-70.588056,"Empresa","Persona","T3",19.3632990222968,13.7490034180125,"2016-09-24",54.7235576923077
"13",13,14990,261,147,1961,60,7341.40950598561,28.1280057700598,"parque_bicentenario",3,219.627440182518,-33.399919,-70.588427,"Empresa","Persona","T2",19.3632990222968,15.1877464631883,"2021-06-18",57.4329501915709
"14",14,22500,468,166,1960,51.6811098700327,12558.5113420025,26.8344259444498,"parque_bicentenario",3,181.339206495466,-33.401999,-70.591841,"Empresa","Persona","T1",19.3632990222968,15.1877464631883,"2018-03-01",48.0769230769231
"15",15,21250,468,166,1960,54.6811098700327,12558.5113420025,26.8344259444498,"parque_bicentenario",3,219.627440182518,-33.401999,-70.591841,"Empresa","Empresa","T2",19.3632990222968,15.1877464631883,"2021-05-14",45.4059829059829
"16",16,18500,457,155,1963,56,11839.2893420671,25.9065412299061,"parque_bicentenario",3.09677419354839,194.959351316001,-33.402129,-70.591501,"Persona","Persona","T1",19.3632990222968,14.3629178047778,"2019-02-16",40.4814004376368
"17",17,20448,457,155,1963,57,11839.2893420671,25.9065412299061,"parque_bicentenario",3.09677419354839,206.484804267472,-33.402129,-70.591501,"Empresa","Persona","T2",19.3632990222968,14.3629178047778,"2020-04-24",44.7439824945295
"18",18,11757,428,291,1953,26.3528418983876,15533.2043819173,36.2925336026105,"parque_bicentenario",2,167.042508351275,-33.402167,-70.591338,"Persona","Empresa","T4",19.3632990222968,21.2920113488446,"2015-10-11",27.4696261682243
"19",19,15400,418,200,1963,48.2907378708014,12164.8452453938,29.1025005870665,"parque_bicentenario",2.055,172.054279594044,-33.402213,-70.591182,"Persona","Empresa","T2",19.3632990222968,21.4634601686055,"2017-05-04",36.8421052631579
"20",20,25000,416,255,1960,29.5294117647061,12728.8270788293,30.5981420164166,"parque_bicentenario",2,190.549339228614,-33.40229,-70.590874,"Persona","Persona","T3",19.3632990222968,22.6419768342476,"2018-08-09",60.0961538461538
"21",21,10145,169,138,1957,57,5067.91807298893,29.9876809052599,"parque_bicentenario",3,153.207397204297,-33.402396,-70.590729,"Persona","Persona","T3",19.3632990222968,15.1877464631883,"2014-09-24",60.0295857988166
"22",22,17493,169,138,1957,64,5067.91807298893,29.9876809052599,"parque_bicentenario",3,215.258330269028,-33.402396,-70.590729,"Persona","Persona","T1",19.3632990222968,15.1877464631883,"2021-01-29",103.508875739645
"23",23,12500,169,132,1957,60,5016.2129973218,29.6817337119633,"parque_bicentenario",3,180.92248440859,-33.402322,-70.590495,"Empresa","Persona","T4",19.3632990222968,15.1877464631883,"2017-12-17",73.9644970414201
"24",24,16500,207,138,1955,64,5900.41144203156,28.5044031016017,"parque_bicentenario",3,203.460525846961,-33.402534,-70.590198,"Persona","Persona","T4",19.3632990222968,15.1877464631883,"2019-11-22",79.7101449275362
"25",25,11000,169,132,1957,57,5016.2129973218,29.6817337119633,"parque_bicentenario",3,153.291015051089,-33.402409,-70.59015,"Persona","Persona","T4",19.3632990222968,15.1877464631883,"2014-12-03",65.0887573964497
"26",26,21466,935,228,1961,60,21299.6853925333,22.7804121845276,"parque_bicentenario",3,219.627440182518,-33.401264,-70.591673,"Empresa","Empresa","T2",19.3632990222968,13.8779637291352,"2021-05-19",22.9582887700535
"27",27,16700,159,132,1962,58,4881.49675712304,30.7012374661826,"parque_bicentenario",3,206.484804267472,-33.401329,-70.591458,"Persona","Persona","T2",19.3632990222968,15.1877464631883,"2020-06-03",105.031446540881
"28",28,16500,266,132,1962,59,6116.25478364686,22.9934390362664,"parque_bicentenario",3,215.258330269028,-33.401438,-70.591497,"Persona","Persona","T1",19.3632990222968,15.1877464631883,"2021-02-14",62.0300751879699
